Date Published,Lat,Lon,Street,Size,Price Per SQMT
2023-10-30/2023-11-05,41.682465,44.9175141,ქიზიყის ქუჩა,2,0.0002898599733589423
2023-10-30/2023-11-05,41.6829162,44.839588,სტეფანე ჭრელაშვილის ქუჩა,1,0.0005822344910750097
2023-10-30/2023-11-05,41.6833116,44.8706053,ჯავახეთის ქუჩა,12,0.000379626349471543
2023-10-30/2023-11-05,41.6835791,44.8267092,300 არაგველის ხიდი,1,0.0009260222335980308
2023-10-30/2023-11-05,41.6843626,44.7838358,მარო მაყაშვილის აღმართი,3,0.0005759163808847583
2023-10-30/2023-11-05,41.685827,44.6936984,ვახტანგ გორგასლის I შეს.,1,0.0004535609384164608
2023-10-30/2023-11-05,41.6860941,44.8883092,შუამთის ქუჩა,5,0.0003423939483654731
2023-10-30/2023-11-05,41.686574,44.8804163049863,მესამე მასივი,5,0.0003444513028394846
2023-10-30/2023-11-05,41.6866296,44.8158428,გრიშაშვილის ქუჩა,4,0.0005318007320940324
2023-10-30/2023-11-05,41.6867619,44.8268581,ბოჭორმის ქუჩა,9,0.0006693640880353473
2023-10-30/2023-11-05,41.6871874,44.8333234,ლეხ კაჩინსკის ქუჩა,4,0.0004766458525839576
2023-10-30/2023-11-05,41.6872822,44.7719586,დავით გურამიშვილის ქუჩა,31,0.0003887669722040727
2023-10-30/2023-11-05,41.6882016,44.8276203,ვაჟა ივერიელის ქუჩა,2,0.0005137607812895052
2023-10-30/2023-11-05,41.6882738,44.8111976,აბანოს I ჩიხი,2,0.0007287908355157654
2023-10-30/2023-11-05,41.6886257,44.9786133,Tbilisi Railway Bypass,7,0.0003351328840412996
2023-10-30/2023-11-05,41.6887246,44.879234,კალოუბნის ქუჩა,2,0.00038011052625747934
2023-10-30/2023-11-05,41.6888314,44.8204204,ფარნავაზ I,39,0.0003766863645287426
2023-10-30/2023-11-05,41.68887245,44.80457257468296,ბეთლემის ეკლესია,1,0.000459024992505618
2023-10-30/2023-11-05,41.6888828,44.8515174,კაკაბეთის ქუჩა,1,0.00026457642034383286
2023-10-30/2023-11-05,41.6890089,44.7727506,ბესიკის ქუჩა,2,0.0006742169681488143
2023-10-30/2023-11-05,41.6890352,44.8602673,გოჩა ონაშვილის ქუჩა,2,0.00034725794073304356
